sample_id,length,was_split,num_segments,original_cer,split_cer,cer_improvement,original_wer,split_wer
book_1,24,False,1,0.041667,0.041667,0.000000,0.400000,0.400000
book_2,95,False,1,0.021053,0.021053,0.000000,0.222222,0.222222
book_3,216,True,2,0.486111,0.064815,0.421296,0.604651,0.116279
book_4,137,True,2,0.197080,0.000000,0.197080,0.392857,0.000000
book_5,67,False,1,0.029851,0.029851,0.000000,0.307692,0.307692
book_9,372,True,4,0.688172,0.069892,0.618280,0.787879,0.090909
book_13,87,False,1,0.022989,0.022989,0.000000,0.285714,0.285714
book_14,101,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
book_15,141,True,2,0.184397,0.000000,0.184397,0.392857,0.000000
book_80,85,False,1,0.023529,0.023529,0.000000,0.307692,0.307692
book_83,32,False,1,0.031250,0.031250,0.000000,0.285714,0.285714
book_87,47,False,1,0.021277,0.021277,0.000000,0.200000,0.200000
book_91,79,False,1,0.037975,0.037975,0.000000,0.352941,0.352941
book_99,67,False,1,0.029851,0.029851,0.000000,0.307692,0.307692
book_125,53,False,1,0.037736,0.037736,0.000000,0.363636,0.363636
book_126,146,True,2,0.246575,0.006849,0.239726,0.500000,0.076923
book_130,18,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
book_276,134,True,2,0.216418,0.044776,0.171642,0.454545,0.090909
book_277,173,True,2,0.369942,0.000000,0.369942,0.437500,0.000000
book_278,90,False,1,0.044444,0.044444,0.000000,0.421053,0.421053
book_279,132,True,2,0.166667,0.000000,0.166667,0.240000,0.000000
book_280,103,False,1,0.029126,0.029126,0.000000,0.285714,0.285714
book_281,29,False,1,0.034483,0.034483,0.000000,0.500000,0.500000
book_938,19,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
book_939,23,False,1,0.043478,0.043478,0.000000,0.500000,0.500000
book_940,122,True,2,0.081967,0.000000,0.081967,0.190476,0.000000
book_941,66,False,1,0.015152,0.015152,0.000000,0.285714,0.285714
book_942,224,True,3,0.482143,0.000000,0.482143,0.534884,0.000000
book_996,67,False,1,0.014925,0.014925,0.000000,0.181818,0.181818
book_997,226,True,3,0.500000,0.000000,0.500000,0.609756,0.000000
book_998,87,False,1,0.045977,0.045977,0.000000,0.333333,0.333333
book_999,162,True,2,0.296296,0.055556,0.240741,0.548387,0.064516
book_1000,125,True,2,0.120000,0.000000,0.120000,0.375000,0.000000
book_3041,111,True,2,0.072072,0.000000,0.072072,0.285714,0.000000
book_3042,61,False,1,0.016393,0.016393,0.000000,0.222222,0.222222
book_3043,89,False,1,0.044944,0.044944,0.000000,0.363636,0.363636
book_3044,40,False,1,0.000000,0.000000,0.000000,0.000000,0.000000
book_3045,37,False,1,0.027027,0.027027,0.000000,0.285714,0.285714
book_3046,36,False,1,0.027778,0.027778,0.000000,0.285714,0.285714
book_3047,38,False,1,0.026316,0.026316,0.000000,0.285714,0.285714
book_3048,105,True,2,0.028571,0.000000,0.028571,0.285714,0.000000
book_3049,131,False,1,0.129771,0.129771,0.000000,0.347826,0.347826
book_3050,103,True,2,0.019417,0.000000,0.019417,0.200000,0.000000
book_3052,323,True,2,0.656347,0.433437,0.222910,0.770492,0.426230
book_3053,88,False,1,0.011364,0.011364,0.000000,0.133333,0.133333
book_3054,136,True,2,0.183824,0.007353,0.176471,0.416667,0.083333
book_3055,42,False,1,0.023810,0.023810,0.000000,0.333333,0.333333
book_3214,89,False,1,0.033708,0.033708,0.000000,0.352941,0.352941
